,,,
,Instructions,,
,fecal,,
,"The column ""Diagnoses"" lists the commonly reported diagnoses.  The column ""Applicable Under Title 17 Category"" maps each of the diagnoses into one of the eight categories as per the Title 17 statute.  ",,
,"Any diagnosis that falls under one the eight categories is reportable as an unplanned hospitalization under the Title 17 statute.  Any diagnosis that does not fall under one of these eight categories is not reportable as ""unplanned hospitalization."" ",,
,,,
,The eight categories under the Title 17 statute are: ,,
,"1. Respiratory illness, including but not limited to asthma; tuberculosis; and chronic obstructive pulmonary disease;
2. Seizure-related;
3. Cardiac-related, including but not limited to, congestive heart failure; hypertension; and angina;
4. Internal infections, including but not limited to, ear, nose and throat; gastrointestinal; kidney; dental; pelvic, or urinary tract;
5. Diabetes, including diabetes-related complications;
6. Wound/skin care, including not limited to, cellulitis and decubitus;
7. Nutritional deficiencies, including but not limited to, anemia and dehydration; or 
8. Involuntary psychiatric admission.
",,
,,,
,The diagnoses highlighted in blue font are those where we have reached a consensus during the Oct 11th call,,
,,,
,Mapping from Clinical Conditions Categories to Title 17,,
,,,
,Group,Diagnoses,Applicable Under Title 17 Category
,,,
,Infectious and Parasitic  ,,
,Infectious and Parasitic  ,HIV/AIDS  ,Internal infections
,Infectious and Parasitic  ,Septicemia/Shock  ,Internal infections
,Infectious and Parasitic  ,Central Nervous System Infection,Internal infections
,Infectious and Parasitic  ,Non-pulmonary Tuberculosis  ,Internal infections
,Infectious and Parasitic  ,Tuberculosis/Pulmonary tuberculosis,Respiratory illness
,Infectious and Parasitic  ,Opportunistic Infections  ,Internal infections
,Infectious and Parasitic  ,Other Infectious Diseases  ,Internal infections
,,,
,Malignant Neoplasm,,
,Malignant Neoplasm,Metastatic Cancer and Acute Leukemia ,Not reportable as unplanned hospitalization
,Malignant Neoplasm,Lung/Upper Digestive/Other Severe Cancer  ,Not reportable as unplanned hospitalization
,Malignant Neoplasm,Lymphatic/Head/Neck/Brain/Major Cancer ,Not reportable as unplanned hospitalization
,Malignant Neoplasm,Breast/Prostate/Colorectal/Other Cancer,Not reportable as unplanned hospitalization
,Malignant Neoplasm,Other Respiratory and Heart Neoplasms  ,Not reportable as unplanned hospitalization
,Malignant Neoplasm,Other disgestive and Urinary Neoplasms ,Not reportable as unplanned hospitalization
,,,
,Benign/In Situ/Uncertain Neoplasm ,,
,Benign/In Situ/Uncertain Neoplasm ,Other Neoplasms  ,Not reportable as unplanned hospitalization
,Benign/In Situ/Uncertain Neoplasm ,"Benign Neoplasms of Skin, Breast, Eye  ",Not reportable as unplanned hospitalization
,,,
,Diabetes,,
,Diabetes,Diabetes with Renal Manifestation,Diabetes
,Diabetes,Diabetes with Neurological/Peripheral Circulatory Manifestation,Diabetes
,Diabetes,Diabetes with Acute Complications  ,Diabetes
,Diabetes,Diab with Ophthalmologic Manifestation,Diabetes
,Diabetes,Diabetes with No/Unspecified complications,Diabetes
,Diabetes,Type I Diabetes Mellitus  ,Diabetes
,,,
,Nutritional and Metabolic,,
,Nutritional and Metabolic,Protein-Calorie Malnutrition  ,Nutritional Deficiency
,Nutritional and Metabolic,Other Significant Endocrine/Metabolic ,Nutritional Deficiency
,Nutritional and Metabolic,Fluid/Electrolyte/Acid-Base Balance/dehydration,Nutritional Deficiency
,Nutritional and Metabolic,Other Endocrine/Metabolic/Nutritional ,Not reportable as unplanned hospitalization
,Nutritional and Metabolic,Anemia,Not reportable as unplanned hospitalization
